periods,pipe Comp1,pipe Comp2
1.0,0.0398,0.0251
2.0,0.0398,0.0201
3.0,0.0395,0.0183
4.0,0.0399,0.0188
5.0,0.0397,0.0195
6.0,0.0396,0.0227
7.0,0.0399,0.0322
8.0,0.0385,0.0433
9.0,0.0397,0.0489
10.0,0.0415,0.0512
11.0,0.041,0.0503
12.0,0.0394,0.0486
13.0,0.0391,0.0459
14.0,0.0396,0.0438
15.0,0.0397,0.0417
16.0,0.0397,0.0408
17.0,0.0401,0.0402
18.0,0.0409,0.0407
19.0,0.0408,0.0456
20.0,0.0398,0.0434
21.0,0.0398,0.0453
22.0,0.0398,0.042
23.0,0.0398,0.0194
24.0,0.0376,0.0147
