periods,Gsup_1,Gsup_2
1.0,5.114,8.0
2.0,4.044,8.0
3.0,3.693,8.0
4.0,3.774,8.0
5.0,3.927,8.0
6.0,4.576,8.0
7.0,6.572,8.0
8.0,8.987,8.0
9.0,9.839,8.0
10.0,9.911,8.0
11.0,9.9,8.0
12.0,9.81,8.0
13.0,9.369,8.0
14.0,8.84,8.0
15.0,8.397,8.0
16.0,8.197,8.0
17.0,8.089,8.0
18.0,8.224,8.0
19.0,9.102,8.0
20.0,8.747,8.0
21.0,9.133,8.0
22.0,8.467,8.0
23.0,3.953,8.0
24.0,2.719,8.0
