periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,0.004,0.0002,0.0153,0.0015,0.0295,0.018,0.006
2.0,0.0026,0.0002,0.0103,0.0016,0.0274,0.015,0.0057
3.0,0.0022,0.0002,0.0083,0.0018,0.0236,0.0127,0.0054
4.0,0.002,0.0002,0.0089,0.0018,0.0246,0.0134,0.0061
5.0,0.0018,0.0002,0.0078,0.0017,0.0222,0.0139,0.0065
6.0,0.0022,0.0003,0.0064,0.0018,0.0204,0.0167,0.0064
7.0,0.003,0.0007,0.0056,0.0022,0.0218,0.0221,0.0079
8.0,0.0036,0.0016,0.0044,0.0024,0.016,0.0198,0.0097
9.0,0.0037,0.0023,0.0038,0.0024,0.017,0.0238,0.0101
10.0,0.0046,0.0024,0.0043,0.0024,0.0252,0.0326,0.0079
11.0,0.004,0.0022,0.0039,0.0022,0.0397,0.0418,0.0062
12.0,0.0041,0.002,0.0041,0.002,0.0338,0.0398,0.009
13.0,0.0047,0.0017,0.0049,0.0019,0.0268,0.0347,0.011
14.0,0.005,0.0016,0.005,0.002,0.0252,0.0324,0.0108
15.0,0.0049,0.0015,0.0049,0.0021,0.0242,0.0307,0.0105
16.0,0.0047,0.0014,0.0048,0.0021,0.0234,0.0307,0.0103
17.0,0.0041,0.0014,0.0045,0.0023,0.0263,0.0295,0.0101
18.0,0.0043,0.0013,0.0037,0.0019,0.0239,0.0267,0.0092
19.0,0.0072,0.0016,0.0041,0.0014,0.0002,0.032,0.0089
20.0,0.0199,0.002,0.006,0.0012,0.0,0.0367,0.0126
21.0,0.0592,0.0,0.0163,0.0,0.0,0.0271,0.0044
22.0,0.003,0.0,0.0,0.0,0.0,0.0054,0.0058
23.0,0.0006,0.0,0.0018,0.0,0.0,0.0099,0.0742
24.0,0.0022,0.0,0.0,0.0,0.0255,0.002,0.0085
