iterations,Cost MMUSD,% Error Mean,% Error Max
1.0,5.4858,8.3098,33.484
2.0,5.4859,2.7716,11.826
3.0,5.4861,1.3988,6.6682
4.0,5.4861,0.9925,7.4245
