periods,G1,G2,G3-TG,G4,G3-TG-TV
1.0,175.0,581.398,0.0,0.0,200.0
2.0,250.0,450.888,0.0,0.0,400.0
3.0,325.0,361.645,0.0,0.0,420.0
4.0,400.0,269.367,0.0,0.0,420.0
5.0,475.0,197.636,0.0,0.0,420.0
6.0,500.0,244.172,0.0,0.0,420.0
7.0,500.0,332.297,0.0,0.0,420.0
8.0,500.0,287.745,0.0,0.0,420.0
9.0,500.0,122.382,0.0,0.0,420.0
10.0,500.0,271.276,0.0,0.0,420.0
11.0,500.0,359.935,0.0,0.0,420.0
12.0,500.0,435.409,0.0,0.0,420.0
13.0,500.0,519.836,0.0,0.0,420.0
14.0,500.0,501.915,0.0,0.0,420.0
15.0,500.0,455.602,0.0,0.0,420.0
16.0,500.0,439.057,0.0,0.0,420.0
17.0,500.0,415.726,0.0,0.0,420.0
18.0,500.0,607.09,0.0,0.0,420.0
19.0,500.0,877.549,0.0,0.0,420.0
20.0,500.0,890.8,0.0,0.0,420.0
21.0,500.0,897.48,0.0,0.0,420.0
22.0,500.0,507.851,0.0,0.0,420.0
23.0,500.0,179.946,0.0,0.0,420.0
24.0,500.0,0.0,0.0,0.0,420.0
