periods,pipe Comp1,pipe Comp2
1.0,7.9671,5.0147
2.0,7.9622,4.0182
3.0,7.8924,3.6685
4.0,7.9883,3.7571
5.0,7.9382,3.9064
6.0,7.927,4.5424
7.0,7.976,6.4474
8.0,7.7063,8.665
9.0,7.9408,9.773
10.0,8.2943,10.2472
11.0,8.1989,10.0617
12.0,7.8839,9.7147
13.0,7.8199,9.1876
14.0,7.9256,8.7663
15.0,7.9401,8.3368
16.0,7.9387,8.1549
17.0,8.0222,8.0418
18.0,8.1889,8.1375
19.0,8.1594,9.1216
20.0,7.9671,8.679
21.0,7.9604,9.0501
22.0,7.9602,8.4024
23.0,7.9602,3.8813
24.0,7.5267,2.9462
