Unit,Node,Pmax,Pmin,b,Co,cvnc,C_start,C_down,Ramp,Cond_I,Pot_Ini,EffiD,Gnode,TminO,TminF,T_ini_Op,T_ini_Fs,CCiclo,Bolsa,Combustible,Forzado,NA,NP,Disp
KALLPATG1GAS,ChilcaRep220,186.57583,100,10.946833,137.561,2.0223,607.7803685,607.7803685,500,0,0,0.215869805,Chilca,8,5,168,0,CT-Kallpa-Cald1,B_Camisea,GN_Camisea,0,0,50,1
KALLPATG2GAS,ChilcaRep220,189.74534,100,11.417036,137.561,2.0223,533.0375,533.0375,500,0,0,0.215055131,Chilca,8,5,168,0,CT-Kallpa-Cald2,B_Camisea,GN_Camisea,0,50,50,1
KALLPATG3GAS,ChilcaRep220,192.96816,100,11.352742,137.561,2.0223,517.5772765,517.5772765,500,0,0,0.211966508,Chilca,8,5,6,0,CT-Kallpa-Cald3,B_Camisea,GN_Camisea,0,50,50,1
KALLPACC1GAS,ChilcaRep220,279.82593,220,11.061488,137.561,3.345,3294.478408,3294.478408,500,1,0,0.144822923,Chilca,23,24,6,0,CT-Kallpa-Cald1,B_Camisea,GN_Camisea,0,50,50,1
KALLPACC2GAS,ChilcaRep220,278.81851,220,5.625908,137.561,3.345,3156.548237,3156.548237,500,0,0,0.168039604,Chilca,23,24,6,0,CT-Kallpa-Cald2,B_Camisea,GN_Camisea,0,50,50,1
KALLPACC3GAS,ChilcaRep220,284.68875,220,7.379608,137.561,3.345,3186.97525,3186.97525,500,0,0,0.158694616,Chilca,23,24,6,0,CT-Kallpa-Cald3,B_Camisea,GN_Camisea,0,50,50,1
CHILCA1TG1GAS,ChilcaCTM220,172.013,10,11.14952,137.5676,1.9972,388.60475,388.60475,500,0,0,0.198163645,Chilca,3,5,6,0,CT-Chilca-Cald1,B_Camisea,GN_Camisea,0,50,50,1
CHILCA1TG2GAS,ChilcaCTM220,172.39494,15,11.574665,137.5676,1.9972,291.8117632,291.8117632,500,0,0,0.191416575,Chilca,3,5,6,0,CT-Chilca-Cald2,B_Camisea,GN_Camisea,0,50,50,1
CHILCA1TG3GAS,ChilcaCTM220,189.58427,15,12.4185,137.5676,1.9972,419.7944868,419.7944868,500,0,0,0.207437695,Chilca,3,5,6,0,CT-Chilca-Cald3,B_Camisea,GN_Camisea,0,50,50,1
CHILCA1CC1GAS,ChilcaCTM220,251.80226,120,10.884783,137.5676,3.345,4041.000461,4041.000461,500,1,0,0.140980895,Chilca,23,24,6,0,CT-Chilca-Cald1,B_Camisea,GN_Camisea,1,50,50,1
CHILCA1CC2GAS,ChilcaCTM220,251.65508,230,4.421188,137.5676,3.345,4036.753066,4036.753066,500,0,0,0.161078111,Chilca,23,24,6,0,CT-Chilca-Cald2,B_Camisea,GN_Camisea,0,50,50,1
CHILCA1CC3GAS,ChilcaCTM220,282.0946,230,6.327474,137.5676,3.345,4090.717947,4090.717947,500,0,0,0.16580635,Chilca,23,24,6,0,CT-Chilca-Cald3,B_Camisea,GN_Camisea,0,50,50,1
AGETG1GAS,Aguaytia220,90.11444,60,7.1819,100.5378,3.9154,509.681316,509.681316,500,0,0,0.254400005,NG_Aguaytia,23,23,6,0,CT-Aguayta-G,B_Aguaytia,GN_Aguaytia,0,50,50,1
AGETG2GAS,Aguaytia220,90.0453,60,7.9218,100.5378,3.6247,500.74775,500.74775,500,0,0,0.245400004,NG_Aguaytia,23,23,6,0,CT-Aguayta-G,B_Aguaytia,GN_Aguaytia,0,50,50,1
MAL2_TGN4GAS,Talara220,99.95098,25,6.655186,29.8381,1.9972,37.09338158,37.09338158,500,0,0,0.189194383,0,23,8,6,0,0,0,GN_Talara,0,50,50,1
VENT3GAS,Ventanilla220,150.28932,90,9.596095,137.5692,2.0223,441.9977237,441.9977237,500,0,0,0.206953601,Ventanilla,23,4,6,0,CT-Venta-Cald3,B_Camisea,GN_Camisea,0,50,50,1
VENT4GAS,Ventanilla220,150.88893,90,10.49921,137.5692,2.0223,396.7962763,396.7962763,500,0,0,0.20334495,Ventanilla,23,4,6,0,CT-Venta-Cald4,B_Camisea,GN_Camisea,0,50,50,1
VENTCC3GAS,Ventanilla220,212.206,173,7.178647,137.5692,3.345,6392.74354,6392.74354,500,0,0,0.153083843,Ventanilla,20,4,6,0,CT-Venta-Cald3,B_Camisea,GN_Camisea,1,50,50,1
VENTCC4GAS,Ventanilla220,213.42,182,6.914432,137.5692,3.345,5934.655265,5934.655265,500,0,0,0.156947901,Ventanilla,20,4,6,0,CT-Venta-Cald4,B_Camisea,GN_Camisea,0,50,50,1
RFILO2TG1D2,Moquegua220,167.69963,96,3.373147,2877.0587,4,642.849763,642.849763,500,0,0,0.05265624,0,2,5,6,0,0,0,D2,0,50,50,1
RFILO2TG2D2,Moquegua220,167.97136,96,3.404922,2877.0587,4,621.7528555,621.7528555,500,0,0,0.052641808,0,2,5,6,0,0,0,D2,0,0,50,1
RFILO2TG3D2,Moquegua220,166.22654,96,3.288014,2877.0587,4,652.0311185,652.0311185,500,0,0,0.05307049,0,2,5,6,0,0,0,D2,0,50,50,1
ILO2_CARB,Moquegua220,0,0,2.4064,175.9599,2.3921,82174.9994,82174.9994,500,0,0,0.338679459,0,6.63,0,6,0,0,0,C,0,50,50,1
INDEP_GAS,Independencia220,23.20388,4,0.833489,114.2747,2.4543,12.07807895,12.07807895,500,0,0,0.197598721,HumayO,1,0.6,6,0,0,B_Camisea,GN_Camisea,0,50,50,1
OLLEROS_TG1_GAS,Chilca500,192.76223,125,8.71502,137.5984,1.9972,652.924737,652.924737,500,0,0,0.237034989,Chilca,4,4.3333,6,0,CT-Olleros,B_Camisea,GN_Camisea,0,50,50,1
LFLORESTG1GAS,ChilcaCTM220,188.91108,100,10.996259,137.5572,2.0223,521.2963555,521.2963555,500,0,0,0.213616073,Chilca,8,5,6,0,CT-Flores,B_Camisea,GN_Camisea,0,50,50,1
SN_TV1R500,Marcona220,17.64571,12,0.307187,3283.3829,1.32,1122.839987,1122.839987,500,0,0,0.078274889,0,8,8,6,0,0,0,R500,0,50,50,1
SN_TV2R500,Marcona220,19.25834,12,0.098573,3283.3829,1.32,2233.212066,2233.212066,500,0,0,0.084574371,0,8,8,6,0,0,0,R500,0,50,50,1
SN_TV3R500,Marcona220,24.2661,12,0.43001,3283.3829,1.32,1126.572711,1126.572711,500,0,0,0.072809269,0,8,8,6,0,0,0,R500,0,50,50,1
SH_CUMMINS,Marcona220,0,0,0.023856,3911.8018,2.4543,0.301078947,0.301078947,500,0,0,0.048590145,0,1,0.6,6,0,0,0,D2,0,0,50,1
CHIL_SLZ12-R500D2,Socabaya220,0,0,0.045115,2531.704,2.4543,0.393276316,0.393276316,500,0,0,0.065305475,0,2,2,6,0,0,0,D2,0,0,50,1
MOLL123D2,Socabaya220,0,0,0.164403,2561.4203,7.5357,56.07655265,56.07655265,500,0,0,0.056905569,0,2,4,6,0,0,0,D2,0,0,50,1
FENIXGT12GAS,Chilca500,191.8858,120,10.355377,137.5319,2.0223,600.253316,600.253316,500,0,0,0.208139826,Chilca,0,12,6,0,CT-Fenix-Cald12,B_Camisea,GN_Camisea,0,50,50,1
