periods,gnode Malvinas,gnode KamaniI,gnode KamaniO,gnode ChiquintircaI,gnode ChiquintircaO,gnode HumayI,gnode Mix101,gnode Mix101_O,gnode Chilca,gnode LurinI,gnode HumayO,gnode LurinO,gnode Pisco,gnode Ica,gnode Marcona,gnode Nazca,gnode SantaRosa,gnode SantaAnita,gnode Ventanilla,gnode NG_Aguaytia
1.0,0.844,0.938,0.136,0.167,0.186,0.152,0.161,0.176,0.126,0.039,0.154,0.04,0.118,0.139,0.128,0.104,0.109,0.106,0.093,0.636
2.0,0.427,0.46,0.143,0.147,0.656,0.499,0.503,0.149,0.145,0.085,0.502,0.257,0.513,0.463,0.484,0.398,0.67,0.394,0.504,0.636
