Unit,Node,Pmax,Pmin,b,Co,cvnc,C_start,C_down,Ramp,Cond_I,Pot_Ini,EffiD,Gnode,TminO,TminF,T_ini_Op,T_ini_Fs,CCiclo,Bolsa,Combustible
STAROSAWESTTG7-GASCONH2O,SantaRosa220,119.53739,65,6.380512,137.561,2.0223,2209.3748,0,500,0,0,0.259964535,SantaRosa,23,12,6,0,0,B_Camisea,GN_Camisea
STAROSATG8GAS,SantaRosa220,184.90261,100,11.051364,137.561,2.0223,4573.1831,0,500,0,0,0.21695287,SantaRosa,23,12,6,0,0,B_Camisea,GN_Camisea
OLLEROSCCOMBTG1-GAS,Chilca500,296.31968,211,4.682561,137.561,2.0223,0.0775,0,500,1,0,0.169502633,Chilca,23,4.3333,6,0,CT-Olleros,B_Camisea,GN_Camisea
LFLORESCCOMBTG1-GAS,ChilcaCTM220,321.9982,175,8.2857895,137.561,2.0223,0,0,500,1,0,0.146958995,Chilca,23,23,6,0,CT-Flores,B_Camisea,GN_Camisea
VENT3D2,Ventanilla220,142.44112,75,3.499394,2126.7,2.0223,15020,0,500,0,0,0.048696044,0,23,0,6,0,CT-Venta-Cald3,0,D2
VENT4D2,Ventanilla220,137.82344,75,2.659392,2126.7,2.0223,11256.58,0,500,0,0,0.054735726,0,23,0,6,0,CT-Venta-Cald4,0,D2
FENIXGT12D2,Chilca500,181.42925,51,3.670323,2558.31,1.9972,4.0231,0,500,0,0,0.060398398,0,0,12,6,0,CT-Fenix-Cald12,0,D2
FENIXGT11D2,Chilca500,182.1286,51,3.458614,2558.31,1.9972,4.0231,0,500,0,0,0.061705015,0,0,12,6,0,CT-Fenix-Cald11,0,D2
FENIXCCGT12D2,Chilca500,269.45757,145,1.800734,2558.31,3.345,4.0231,0,500,0,0,0.047718348,0,22,23,6,0,CT-Fenix-Cald12,0,D2
FENIXCCGT11D2,Chilca500,270.48642,145,1.574612,2558.31,3.345,4.0231,0,500,0,0,0.048633676,0,22,23,6,0,CT-Fenix-Cald11,0,D2
