pipe,First,Terminal,Cmn,Kmn,L_0,sqrt_es,L_f,Linepack
Pipe1 ,1,2,5.4435312,0.0342,1.523680008,1,0,1
Pipe2 ,1,3,5.4435312,0.0342,1.557919992,1,0,1
Pipe3 ,4,2,5.4435312,0.0342,1.48944,1,0,1
Pipe4,4,3,5.4435312,0.0342,1.523680008,1,0,1
