Date,Time,1,2,3,4
1/01/2016,00:00:00,0,5.754170215,3.541027829,0
1/01/2016,01:00:00,0,5.407705591,3.327818842,0
1/01/2016,02:00:00,0,5.150535984,3.16956061,0
1/01/2016,03:00:00,0,5.471998013,3.367383386,0
1/01/2016,04:00:00,0,5.557721215,3.42013613,0
1/01/2016,05:00:00,0,5.772029234,3.55201799,0
1/01/2016,06:00:00,0,6.83999749,4.209229226,0
1/01/2016,07:00:00,0,8.115130188,4.993926274,0
1/01/2016,08:00:00,0,9.965322734,6.132506292,0
1/01/2016,09:00:00,0,10.19748975,6.275378314,0
1/01/2016,10:00:00,0,9.69743771,5.967653974,0
1/01/2016,11:00:00,0,8.961646848,5.514859601,0
1/01/2016,12:00:00,0,8.136560995,5.007114473,0
1/01/2016,13:00:00,0,7.904393983,4.864242451,0
1/01/2016,14:00:00,0,7.765093776,4.778519249,0
1/01/2016,15:00:00,0,7.686514176,4.730162554,0
1/01/2016,16:00:00,0,7.768665564,4.780717286,0
1/01/2016,17:00:00,0,7.261469926,4.468596871,0
1/01/2016,18:00:00,0,7.057877323,4.343309124,0
1/01/2016,19:00:00,0,6.629261285,4.079545404,0
1/01/2016,20:00:00,0,6.411381478,3.945465533,0
1/01/2016,21:00:00,0,6.411381478,3.945465533,0
1/01/2016,22:00:00,0,6.264937668,3.855346255,0
1/01/2016,23:00:00,0,5.411277406,3.330016853,0
