iterations,Cost MMUSD,% Error Mean,% Error Max
1.0,5.8273,6.3224,34.3928
2.0,5.831,2.9763,23.2008
3.0,5.8328,2.6282,23.201
4.0,5.8341,1.9824,23.2007
5.0,5.8353,1.2541,23.201
6.0,5.842,0.6392,15.0096
