periods,1,2,3,4,5,6,7,8,9,10
1.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
2.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
3.0,15.075,15.075,15.075,15.075,15.0,15.0,15.0,15.0,15.075,15.136
4.0,15.075,15.076,15.075,15.074,14.999,15.001,15.0,15.0,15.077,15.138
5.0,15.075,15.086,15.065,15.051,14.976,14.976,15.0,15.0,15.123,15.184
6.0,15.075,15.516,15.147,15.131,15.055,14.897,15.0,15.0,16.11,16.175
7.0,15.444,23.145,19.013,21.144,21.039,20.93,15.367,15.0,30.393,30.515
8.0,35.917,91.75,56.261,41.066,40.862,9.0,35.738,15.0,178.373,179.09
9.0,1186.243,1186.421,1186.338,1186.387,1180.484,1180.465,1180.341,1180.341,1186.65,1191.416
10.0,1186.477,1187.546,1186.758,1187.064,1181.158,1181.158,1180.574,1180.108,1189.533,1194.31
11.0,1184.17,1191.9,1181.954,1184.426,1178.533,1183.783,1178.278,1168.904,1217.567,1222.457
12.0,1076.176,1160.863,1057.032,1079.633,1074.261,1149.745,1070.822,1001.688,1649.534,1656.159
13.0,23.145,23.145,23.145,23.145,23.03,23.03,23.03,23.03,23.145,23.238
14.0,23.145,23.145,23.145,23.145,23.03,23.03,23.03,23.03,23.145,23.238
15.0,23.145,23.145,23.145,23.145,23.03,23.03,23.03,23.03,23.145,23.238
16.0,23.145,23.145,23.145,23.145,23.03,23.03,23.03,23.03,23.145,23.238
17.0,23.145,23.145,23.145,23.145,23.03,23.03,23.03,23.03,23.145,23.238
18.0,23.145,23.145,23.145,23.145,23.03,23.03,23.029,23.029,23.145,23.238
19.0,23.144,23.147,23.144,23.144,23.029,23.03,23.029,23.025,23.153,23.246
20.0,23.107,23.162,23.095,23.105,22.99,23.015,22.992,22.936,23.266,23.359
21.0,22.476,23.128,22.365,22.469,22.357,22.803,22.365,21.929,25.607,25.709
22.0,15.835,15.84,15.834,15.835,15.756,15.758,15.756,15.751,15.852,15.916
23.0,15.781,15.831,15.768,15.78,15.702,15.759,15.702,15.656,15.942,16.006
24.0,15.075,15.848,14.847,14.987,14.913,14.913,15.0,15.0,18.854,18.93
