periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,4.7198,2.6393,4.0374,1.1798,5.8292,8.6536,4.7269
2.0,3.9278,2.1525,3.8715,2.0728,6.0324,7.1387,4.4423
3.0,3.3154,1.8211,3.6115,2.3203,6.0484,6.5409,4.231
4.0,3.2164,1.9139,3.5403,2.4074,6.2758,7.0626,4.4951
5.0,3.0322,1.9949,3.1258,2.3743,5.5555,6.999,4.5655
6.0,3.284,2.2442,3.2848,2.2449,5.5564,7.568,4.7415
7.0,4.0039,2.8182,3.7421,2.2684,6.006,8.843,5.6188
8.0,3.3203,2.8422,3.3101,2.6352,5.9999,8.1326,6.6663
9.0,4.5317,4.0769,3.4262,2.6453,6.0005,10.224,8.1862
10.0,4.8224,4.1833,3.8281,2.7816,6.6333,10.9652,8.3769
11.0,4.5599,3.7415,3.8427,2.9436,6.5118,10.032,7.9661
12.0,4.5145,3.67,3.5938,2.6035,5.9816,10.0011,7.3617
13.0,4.4309,3.491,3.5845,2.3209,5.8718,9.9057,6.6839
14.0,4.176,3.4203,3.3032,2.2617,5.7051,9.7545,6.4932
15.0,4.2403,3.3659,3.4199,2.2382,5.8362,9.8008,6.3788
16.0,4.4708,3.3745,3.6591,2.1856,5.9335,9.955,6.3142
17.0,4.4815,3.3729,3.6994,2.2332,5.9971,9.9368,6.3817
18.0,4.6958,3.2744,3.9377,2.048,5.9697,9.9751,5.9651
19.0,5.3259,3.2795,4.6209,1.9289,6.3505,10.4313,5.7978
20.0,5.2131,3.1362,4.5483,1.8325,6.2335,10.2208,5.4457
21.0,5.0266,3.028,4.3154,1.8188,6.0751,10.0176,5.4274
22.0,4.932,3.0338,4.2009,1.813,6.0291,10.0013,5.4073
23.0,4.4166,2.9445,3.5551,1.8203,5.9987,10.0001,5.3774
24.0,2.1626,1.5477,3.3509,2.7396,5.5688,5.0985,5.2283
