periods,UHp1,UHp2
1.0,0.167,1.567
2.0,0.275,1.702
3.0,0.383,1.837
4.0,0.491,1.972
5.0,0.599,2.107
6.0,0.707,2.242
7.0,0.784,2.358
8.0,0.726,2.277
9.0,0.654,2.187
10.0,0.582,2.097
11.0,0.51,2.007
12.0,0.438,1.917
13.0,0.37,1.829
14.0,0.312,1.747
15.0,0.309,1.707
16.0,0.315,1.707
17.0,0.31,1.698
18.0,0.288,1.654
19.0,0.247,1.585
20.0,0.203,1.514
21.0,0.134,1.427
22.0,0.155,1.464
23.0,0.155,1.484
24.0,0.15,1.5
