periods,UHp1,UHp2,UHp3,UHp4
1.0,100.845,151.943,90.0,120.0
2.0,0.014,0.016,90.0,120.0
3.0,0.014,0.016,90.0,120.0
4.0,0.014,0.017,90.0,120.0
5.0,0.014,0.017,90.0,120.0
6.0,0.015,0.018,90.0,120.0
7.0,34.769,41.679,90.0,120.0
8.0,184.733,480.694,90.0,120.0
9.0,200.0,500.0,90.0,120.0
10.0,200.0,500.0,90.0,120.0
11.0,200.0,500.0,90.0,120.0
12.0,200.0,500.0,90.0,120.0
13.0,194.767,494.722,90.0,120.0
14.0,184.314,481.854,90.0,120.0
15.0,123.472,389.011,90.0,120.0
16.0,113.203,299.459,90.0,120.0
17.0,125.604,321.47,90.0,120.0
18.0,144.484,396.508,90.0,120.0
19.0,165.983,454.469,90.0,120.0
20.0,168.422,455.917,90.0,120.0
21.0,197.304,495.468,90.0,120.0
22.0,96.812,216.429,90.0,120.0
23.0,119.572,256.018,90.0,120.0
24.0,125.643,264.273,90.0,120.0
