periods,pipe Comp1,pipe Comp2
1.0,5.8002,8.6106
2.0,6.0024,7.1032
3.0,6.0183,6.5084
4.0,6.2446,7.0274
5.0,5.5279,6.9642
6.0,5.5287,7.5303
7.0,5.9762,8.799
8.0,5.9701,8.0921
9.0,5.9707,10.1732
10.0,6.6003,10.9107
11.0,6.4794,9.9821
12.0,5.9519,9.9513
13.0,5.8426,9.8564
14.0,5.6767,9.7059
15.0,5.8071,9.7521
16.0,5.904,9.9055
17.0,5.9673,9.8873
18.0,5.94,9.9255
19.0,6.3189,10.3794
20.0,6.2025,10.1699
21.0,6.0449,9.9678
22.0,5.9991,9.9516
23.0,5.9689,9.9503
24.0,5.5411,5.0732
