periods,Delta LP,ConsumSP
1.0,1.968,5.05
2.0,0.159,5.462
3.0,0.207,5.159
4.0,0.543,4.904
5.0,0.545,4.709
6.0,0.966,5.103
7.0,-0.188,5.484
8.0,0.026,2.853
9.0,-0.605,2.763
10.0,-1.68,3.511
11.0,-1.382,3.908
12.0,-0.603,4.148
13.0,0.094,4.592
14.0,0.887,4.121
15.0,0.789,4.41
16.0,0.277,5.029
17.0,0.156,5.036
18.0,-0.05,5.943
19.0,-1.455,7.625
20.0,-0.933,7.696
21.0,-0.329,7.234
22.0,-0.064,6.99
23.0,1.694,5.344
24.0,-0.825,3.908
