periods,G1,G2,G3
1.0,30.0,750.0,34.034
2.0,-0.0,777.28,-0.0
3.0,-0.0,758.903,-0.0
4.0,-0.0,741.389,-0.0
5.0,-0.0,729.714,-0.0
6.0,-0.0,770.578,-0.0
7.0,-0.0,810.654,53.327
8.0,64.717,717.639,128.327
9.0,139.717,655.205,203.327
10.0,214.717,592.77,278.327
11.0,150.0,623.351,353.327
12.0,75.0,785.027,278.327
13.0,0.0,900.0,203.327
14.0,-0.0,893.273,128.327
15.0,-0.0,900.0,74.898
16.0,-0.0,900.0,86.573
17.0,-0.0,878.926,130.998
18.0,75.0,863.193,205.998
19.0,150.0,900.0,280.998
20.0,86.676,900.0,338.485
21.0,150.0,900.0,263.485
22.0,75.0,841.01,188.485
23.0,-0.0,857.91,113.485
24.0,-0.0,799.81,38.485
