periods,Delta LP,ConsumSP
1.0,0.469,3.75
2.0,0.275,3.886
3.0,0.569,3.795
4.0,0.083,3.707
5.0,0.001,3.649
6.0,-0.017,3.853
7.0,-0.04,4.053
8.0,-0.005,3.588
9.0,-0.91,3.276
10.0,-0.939,2.964
11.0,-0.358,3.117
12.0,-0.086,3.925
13.0,0.394,4.5
14.0,-0.109,4.466
15.0,-0.268,4.5
16.0,-0.016,4.5
17.0,-0.002,4.395
18.0,0.072,4.316
19.0,0.011,4.5
20.0,0.047,4.5
21.0,0.024,4.5
22.0,0.026,4.205
23.0,0.008,4.29
24.0,0.082,3.999
