Parameter,Value
Power shedding cost MM (USD),0.0
Thermal variable cost MM (USD),0.739
Start-up and-Shut down MM (USD),0.001
Gas shedding cost MM (USD),0.0
Well Production MM (USD),3.024
Hidraulic Production MM (USD),0
Total cost MM (USD),3.7640000000000002
Time seg,10.3459925
% viol conx gas flow max,14.131894729021818
