iterations,Cost MMUSD,% Error Mean,% Error Max
1.0,3.7552,11.4319,32.4074
2.0,3.7604,5.6955,26.831
3.0,3.7619,3.6825,21.6624
4.0,3.763,2.2984,20.4163
5.0,3.7643,1.5871,14.1319
