periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,4.4288,0.6919,5.073,2.927
2.0,4.5025,0.5828,5.1433,2.8567
3.0,4.41,0.5508,5.0841,2.9159
4.0,4.3596,0.8203,5.2311,2.7689
5.0,3.9561,0.4924,5.0682,2.9318
6.0,3.7264,0.5332,4.9787,3.0213
7.0,3.6135,0.4221,5.0462,2.9538
8.0,5.7697,3.2303,5.3819,2.6181
9.0,5.8852,3.1148,5.4702,2.5298
10.0,5.6952,3.3048,5.5733,2.4267
11.0,5.9523,3.0477,5.2445,2.7555
12.0,6.0009,2.9991,5.463,2.537
13.0,5.8987,2.9526,5.6349,2.3651
14.0,5.8801,2.8162,5.6767,2.3233
15.0,5.9377,2.6609,5.7775,2.2225
16.0,6.1151,2.5695,5.9388,2.0612
17.0,6.0338,2.5712,5.8799,2.1201
18.0,5.672,2.1328,5.745,2.255
19.0,5.3877,1.7877,5.7838,2.2162
20.0,5.1689,1.9746,5.9182,2.0818
21.0,5.0181,1.8208,5.884,2.116
22.0,4.838,1.6373,5.6933,2.3067
23.0,4.6419,1.6111,5.7533,2.2467
24.0,3.9487,0.8599,5.4796,2.5204
