periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,0.0021,0.0002,0.0213,0.0017
2.0,0.0033,0.0001,0.0173,0.0019
3.0,0.002,0.0001,0.014,0.0017
4.0,0.0005,0.0002,0.0015,0.0101
5.0,0.0,0.0011,0.0,0.0111
6.0,0.0,0.0008,0.0,0.013
7.0,0.0,0.0039,0.0,0.0351
8.0,0.0,0.0137,0.0,0.0099
9.0,0.0,0.0257,0.0,0.0158
10.0,0.0,0.0,0.0,0.0425
11.0,0.0,0.0443,0.0975,0.0654
12.0,0.0,0.0228,0.0749,0.0538
13.0,0.0076,0.0016,0.0065,0.0011
14.0,0.0068,0.0013,0.0054,0.0009
15.0,0.0076,0.0013,0.0053,0.0009
16.0,0.0085,0.0015,0.006,0.001
17.0,0.0096,0.0014,0.0068,0.0012
18.0,0.0084,0.0012,0.0061,0.0013
19.0,0.0379,0.0022,0.0042,0.0011
20.0,0.1025,0.0039,0.0027,0.0002
21.0,0.1313,0.0222,0.0165,0.0081
22.0,0.1323,0.0321,0.023,0.0
23.0,0.1413,0.0298,0.001,0.0
24.0,0.1146,0.0086,0.0,0.0
