periods,Delta LP,ConsumSP
1.0,0.075,3.75
2.0,0.225,4.125
3.0,0.617,4.024
4.0,0.457,3.884
5.0,0.026,3.445
6.0,0.016,2.919
7.0,-1.697,2.683
8.0,1.701,2.19
9.0,-1.019,1.922
10.0,-1.126,1.653
11.0,-0.353,1.688
12.0,0.021,2.502
13.0,0.648,3.06
14.0,0.567,3.36
15.0,0.202,3.853
16.0,-0.232,4.5
17.0,-0.178,4.234
18.0,-0.148,4.223
19.0,-0.726,4.5
20.0,-0.065,4.5
21.0,-0.018,4.5
22.0,0.018,4.101
23.0,0.014,4.119
24.0,0.156,3.911
