periods,Hidraulic Power,Thermal power,Start-up and-Shut down,Power shedding,Well Production,Gas shedding
1.0,0,0.013,0.0,0.0,0.107,0.0
2.0,0,0.005,0.0,0.0,0.107,0.0
3.0,0,0.005,0.0,0.0,0.106,0.0
4.0,0,0.005,0.0,0.0,0.108,0.0
5.0,0,0.01,0.0,0.0,0.1,0.0
6.0,0,0.021,0.001,0.0,0.099,0.0
7.0,0,0.032,0.0,0.0,0.096,0.0
8.0,0,0.042,0.0,0.0,0.146,0.0
9.0,0,0.053,0.0,0.0,0.146,0.0
10.0,0,0.063,0.0,0.0,0.146,0.0
11.0,0,0.066,0.0,0.0,0.146,0.0
12.0,0,0.056,0.0,0.0,0.146,0.0
13.0,0,0.046,0.0,0.0,0.145,0.0
14.0,0,0.035,0.0,0.0,0.143,0.0
15.0,0,0.024,0.0,0.0,0.142,0.0
16.0,0,0.016,0.0,0.0,0.143,0.0
17.0,0,0.022,0.0,0.0,0.142,0.0
18.0,0,0.032,0.0,0.0,0.134,0.0
19.0,0,0.044,0.0,0.0,0.128,0.0
20.0,0,0.043,0.0,0.0,0.127,0.0
21.0,0,0.042,0.0,0.0,0.124,0.0
22.0,0,0.031,0.0,0.0,0.121,0.0
23.0,0,0.02,-0.0,0.0,0.119,0.0
24.0,0,0.013,0.0,0.0,0.104,0.0
