periods,Pipe1 ,Pipe2 ,Pipe3 ,Pipe4
1.0,1.821,1.8839,1.834,1.8969
2.0,1.823,1.8817,1.8459,1.9046
3.0,1.8285,1.8812,1.854,1.9067
4.0,1.8287,1.8816,1.8539,1.9067
5.0,1.8344,1.8814,1.8617,1.9087
6.0,1.8396,1.8815,1.8687,1.9105
7.0,1.3563,1.4167,1.4001,1.4606
8.0,1.8439,1.9086,1.8339,1.8985
9.0,1.6167,1.7039,1.6039,1.6911
10.0,1.3414,1.4467,1.3262,1.4315
11.0,1.2447,1.355,1.2288,1.3391
12.0,1.2387,1.3585,1.2234,1.3432
13.0,1.4095,1.5155,1.3977,1.5038
14.0,1.5873,1.6837,1.5774,1.6738
15.0,1.6966,1.7934,1.6872,1.784
16.0,1.4069,1.5313,1.4087,1.5331
17.0,1.2037,1.3457,1.2037,1.3457
18.0,1.2135,1.3471,1.2138,1.3474
19.0,1.2121,1.3487,1.2134,1.35
20.0,1.2292,1.3547,1.2381,1.3636
21.0,1.2384,1.3577,1.2516,1.3709
22.0,1.2518,1.3595,1.2694,1.3771
23.0,1.2568,1.361,1.2768,1.3811
24.0,1.2823,1.3668,1.3128,1.3972
