periods,Delta LP,ConsumSP
1.0,1.341,3.75
2.0,0.02,4.125
3.0,0.015,4.024
4.0,0.001,3.734
5.0,0.015,3.295
6.0,0.014,2.769
7.0,-1.867,2.533
8.0,1.851,2.04
9.0,-0.869,1.771
10.0,-1.07,1.597
11.0,-0.378,1.713
12.0,-0.004,2.527
13.0,0.663,3.085
14.0,0.696,3.385
15.0,0.439,3.878
16.0,-1.081,4.5
17.0,-0.781,4.234
18.0,0.023,4.223
19.0,0.002,4.5
20.0,0.061,4.5
21.0,0.033,4.5
22.0,0.039,4.101
23.0,0.018,4.119
24.0,0.083,4.136
