Parameter,Value
Power shedding cost MM (USD),-0.0
Thermal variable cost MM (USD),0.748
Start-up and-Shut down MM (USD),0.001
Gas shedding cost MM (USD),-0.0
Well Production MM (USD),3.019
Hidraulic Production MM (USD),0
Total cost MM (USD),3.7680000000000002
Time seg,198.7593786
% viol conx gas flow max,2.2181168052635771e-10
