periods,gnode 1,gnode 2,gnode 3,gnode 4
1.0,55.2532,51.2374,54.9151,56.0158
2.0,55.0443,51.5664,54.9978,56.3836
3.0,55.0095,51.9182,54.9999,56.5041
4.0,55.0326,51.9111,55.0,56.505
5.0,55.0245,52.2505,55.0,56.6188
6.0,55.0286,52.5516,55.0,56.727
7.0,41.4419,37.8744,41.409,44.0051
8.0,56.6114,51.2207,55.0,56.0228
9.0,50.879,43.6646,48.7644,50.1282
10.0,43.5786,34.8641,41.0213,42.6901
11.0,40.9282,31.859,38.3104,40.0
12.0,40.8961,31.5424,38.549,40.0
13.0,45.2301,37.1971,43.3974,44.5416
14.0,50.013,42.8124,48.4515,49.431
15.0,53.1375,46.0773,51.7375,52.5907
16.0,45.2912,36.9822,44.2585,45.398
17.0,40.0005,30.3896,38.6969,40.0001
18.0,40.0,30.9635,38.7769,40.0188
19.0,40.0,30.8846,38.8734,40.0732
20.0,40.0,31.8847,39.2221,40.5215
21.0,40.0,32.4191,39.3972,40.7722
22.0,40.0,33.203,39.5002,41.0327
23.0,40.0,33.4956,39.5909,41.1729
24.0,40.0,34.9868,39.927,41.783
