periods,Gsup_1,Gsup_2
1.0,6.386,8.0
2.0,4.88,8.0
3.0,4.359,8.0
4.0,4.574,8.0
5.0,4.288,8.0
6.0,4.107,8.0
7.0,3.716,8.0
8.0,9.0,8.0
9.0,9.0,8.0
10.0,9.0,8.0
11.0,9.0,8.0
12.0,9.0,8.0
13.0,8.891,8.0
14.0,8.849,8.0
15.0,8.861,8.0
16.0,7.836,8.0
17.0,8.002,8.0
18.0,7.976,8.0
19.0,7.904,8.0
20.0,7.27,8.0
21.0,6.89,8.0
22.0,6.497,8.0
23.0,6.257,8.0
24.0,4.961,8.0
