periods,gen G1,gen G2,gen G3
1.0,40.4374,3.75,105.0
2.0,-0.0,4.125,30.0
3.0,-0.0,4.024,30.0
4.0,-0.0,3.7338,68.7752
5.0,0.0,3.2946,143.7752
6.0,75.0,2.7693,218.7752
7.0,150.0,2.533,293.7752
8.0,225.0,2.0399,368.7752
9.0,300.0,1.7715,443.7752
10.0,375.0,1.597,500.0
11.0,396.7376,1.713,500.0
12.0,321.7376,2.5273,425.0
13.0,246.7376,3.0846,350.0
14.0,171.7376,3.3851,275.0
15.0,96.7376,3.8783,200.0
16.0,30.0,4.5,155.2303
17.0,33.8675,4.2341,230.2303
18.0,108.8675,4.2226,305.2303
19.0,183.8675,4.5,380.2303
20.0,162.8436,4.5,394.8335
21.0,225.0,4.5,319.8335
22.0,150.0,4.1006,244.8335
23.0,75.0,4.1185,169.8335
24.0,-0.0,4.1365,94.8335
