periods,Gsup_1,Gsup_2
1.0,6.076,8.0
2.0,4.589,8.0
3.0,4.067,8.0
4.0,4.073,8.0
5.0,4.164,8.0
6.0,4.854,8.0
7.0,7.232,8.0
8.0,9.468,8.0
9.0,9.876,8.0
10.0,9.921,8.0
11.0,9.916,8.0
12.0,9.864,8.0
13.0,9.704,8.0
14.0,9.425,8.0
15.0,8.902,8.0
16.0,7.436,8.0
17.0,6.614,8.0
18.0,7.332,8.0
19.0,8.997,8.0
20.0,8.576,8.0
21.0,8.264,8.0
22.0,6.132,8.0
23.0,4.656,8.0
24.0,3.23,8.0
