periods,pipe Comp1,pipe Comp2
1.0,0.0395,0.0297
2.0,0.0397,0.0229
3.0,0.0396,0.0202
4.0,0.0398,0.0203
5.0,0.0397,0.0207
6.0,0.0396,0.024
7.0,0.0395,0.0353
8.0,0.0388,0.0455
9.0,0.0401,0.0494
10.0,0.0412,0.051
11.0,0.0408,0.0504
12.0,0.0398,0.0491
13.0,0.0393,0.0477
14.0,0.0397,0.0467
15.0,0.0416,0.0441
16.0,0.0403,0.0369
17.0,0.0398,0.0329
18.0,0.0398,0.0362
19.0,0.0398,0.045
20.0,0.0398,0.0427
21.0,0.0398,0.0413
22.0,0.0398,0.0306
23.0,0.0398,0.0233
24.0,0.0376,0.0168
