periods,Delta LP,ConsumSP
1.0,1.2,4.861
2.0,0.045,5.014
3.0,0.181,4.714
4.0,-0.002,4.459
5.0,0.137,4.292
6.0,0.187,4.633
7.0,0.461,5.25
8.0,0.932,5.245
9.0,-0.308,4.333
10.0,-0.982,4.729
11.0,-0.712,5.145
12.0,-0.21,5.61
13.0,0.191,6.19
14.0,0.217,6.207
15.0,0.373,5.72
16.0,0.462,4.283
17.0,0.023,3.79
18.0,0.079,5.149
19.0,-0.062,7.228
20.0,0.022,7.318
21.0,-0.03,7.198
22.0,0.011,5.056
23.0,-0.011,3.722
24.0,-1.989,4.909
