periods,Gsup_1,Gsup_2
1.0,4.669,8.0
2.0,4.103,8.0
3.0,3.928,8.0
4.0,3.826,8.0
5.0,3.811,8.0
6.0,4.313,8.0
7.0,6.058,8.0
8.0,7.5,8.0
9.0,9.0,8.0
10.0,9.0,8.0
11.0,9.0,8.0
12.0,9.0,8.0
13.0,8.843,8.0
14.0,7.965,8.0
15.0,7.635,8.0
16.0,7.771,8.0
17.0,7.802,8.0
18.0,7.052,8.0
19.0,6.876,8.0
20.0,6.282,8.0
21.0,5.94,8.0
22.0,5.646,8.0
23.0,5.497,8.0
24.0,4.028,8.0
