periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,4.0656,0.4303,4.9155,2.7888
2.0,3.8987,0.0687,4.9038,2.9566
3.0,3.7097,-0.0684,4.7671,2.9498
4.0,3.7952,-0.0101,4.8863,3.0714
5.0,3.7992,0.0117,4.9018,3.0975
6.0,4.0661,0.2524,5.0341,2.9767
7.0,4.868,1.1999,5.4035,2.6267
8.0,5.4051,2.0865,5.5605,2.4534
9.0,6.3144,3.1238,6.021,2.4512
10.0,6.273,3.1943,5.9612,2.5105
11.0,6.1215,3.0568,5.8111,2.3683
12.0,6.1828,2.8603,5.8892,2.1532
13.0,6.0675,2.5821,5.8294,1.9699
14.0,5.8257,2.2053,5.8265,2.2168
15.0,5.7318,2.0419,5.8274,2.3022
16.0,5.7121,2.0659,5.7756,2.2342
17.0,5.7011,2.1009,5.7559,2.2452
18.0,5.3335,1.6912,5.5838,2.3712
19.0,5.3095,1.5627,5.6068,2.3858
20.0,5.0417,1.223,5.4849,2.4857
21.0,4.8999,1.0307,5.4286,2.5561
22.0,4.708,0.9281,5.3255,2.6587
23.0,4.6678,0.827,5.3172,2.6779
24.0,3.9601,0.0366,4.9583,2.9906
