periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,5.0685,3.1398,3.9544,0.6793,5.5826,9.8693,4.7269
2.0,3.9305,2.1207,3.9149,2.1045,6.1675,7.1449,4.4423
3.0,3.4379,2.0709,3.4376,2.0705,5.5474,6.8546,4.231
4.0,2.5787,1.1462,3.9195,3.1751,7.1037,5.2757,4.4951
5.0,3.069,2.1724,3.0899,2.1968,5.3444,7.2575,4.5655
6.0,3.2835,2.2445,3.2836,2.2446,5.552,7.5621,4.7415
7.0,3.858,2.712,3.6295,2.3746,6.0061,8.5946,5.6188
8.0,3.312,2.6012,3.3096,2.5988,5.9602,7.8981,6.6663
9.0,4.5434,4.014,3.4128,2.6633,6.0011,10.2303,8.1862
10.0,4.8155,4.1312,3.7613,2.8337,6.6171,10.9665,8.3769
11.0,4.5204,3.7795,3.8226,2.9057,6.4589,10.0321,7.9661
12.0,4.4857,3.6975,3.622,2.576,5.9854,10.0011,7.3617
13.0,4.4313,3.4782,3.6046,2.3337,5.888,9.878,6.6839
14.0,4.3898,3.4289,3.547,2.2531,5.8802,9.919,6.4932
15.0,4.7303,3.4072,3.9478,2.1969,6.1619,10.1752,6.3788
16.0,4.45,3.3551,3.6583,2.205,6.0682,10.026,6.3142
17.0,4.4215,3.3853,3.6053,2.2208,6.0019,10.0018,6.3817
18.0,4.4404,3.2572,3.6493,2.0651,6.0002,10.0001,5.9651
19.0,5.0761,3.2447,4.3802,1.9638,6.0,10.0,5.7978
20.0,5.0186,3.1326,4.3363,1.8361,6.0,10.0,5.4457
21.0,5.0928,3.0812,4.4305,1.7656,6.0,10.0,5.4274
22.0,4.8851,3.0691,4.1967,1.7776,6.0,10.0,5.4073
23.0,4.5669,3.0124,3.8423,1.7524,6.0,10.0,5.3774
24.0,2.3048,1.5558,3.2013,2.7315,5.6345,5.4875,5.2283
