periods,Pipe1 ,Pipe2 ,Pipe3 ,Pipe4,Pipe5,Pipe6,Pipe7
1.0,1.9723,2.0212,1.9427,1.9916,1.9474,1.4901,2.596
2.0,2.0101,2.0416,2.01,2.0416,1.7799,1.7407,2.737
3.0,2.021,2.0424,2.021,2.0424,2.2325,1.7252,2.7827
4.0,1.9864,2.0016,2.011,2.0262,1.1287,1.7406,2.7416
5.0,2.0273,2.0407,2.0274,2.0408,1.7844,1.7725,2.7854
6.0,2.0241,2.0403,2.0241,2.0403,2.2324,2.4668,2.7676
7.0,2.0124,2.0338,2.0076,2.029,2.2263,2.4445,2.6809
8.0,2.0234,2.0354,2.0234,2.0354,2.2275,2.4668,2.6361
9.0,1.9958,2.009,1.9704,1.9836,2.2264,2.2365,2.4061
10.0,1.9881,2.006,1.9627,1.9806,1.6092,1.27,2.3464
11.0,1.8286,1.8478,1.8113,1.8305,1.1504,1.238,2.1346
12.0,1.7114,1.733,1.6889,1.7106,1.1649,1.2369,1.9924
13.0,1.6688,1.695,1.6468,1.673,1.2769,1.3589,1.9895
14.0,1.6943,1.7203,1.6723,1.6983,1.3967,1.44,2.0525
15.0,1.6823,1.7194,1.66,1.6971,1.2348,1.2648,2.0313
16.0,1.7721,1.8005,1.7517,1.7802,1.1666,1.2388,2.1956
17.0,1.846,1.8718,1.8261,1.8518,1.1647,1.237,2.3184
18.0,1.9717,1.9988,1.9533,1.9805,1.1645,1.2369,2.5547
19.0,1.7758,1.8242,1.7558,1.8042,1.1645,1.2369,2.2454
20.0,1.6733,1.7259,1.6525,1.7052,1.1645,1.2369,2.0967
21.0,1.5575,1.6179,1.5356,1.5961,1.1645,1.2369,1.8991
22.0,1.5587,1.6127,1.5368,1.5908,1.1645,1.2369,1.9025
23.0,1.7511,1.7912,1.7314,1.7716,1.1645,1.2369,2.2283
24.0,1.5658,1.5761,1.5832,1.5934,1.53,1.53,2.05
