periods,pipe Reg1
1.0,4.7269
2.0,4.4423
3.0,4.231
4.0,4.4951
5.0,4.5655
6.0,4.7415
7.0,5.6188
8.0,6.6663
9.0,8.1862
10.0,8.3769
11.0,7.9661
12.0,7.3617
13.0,6.6839
14.0,6.4932
15.0,6.3788
16.0,6.3142
17.0,6.3817
18.0,5.9651
19.0,5.7978
20.0,5.4457
21.0,5.4274
22.0,5.4073
23.0,5.3774
24.0,5.2283
