periods,pipe Comp1,pipe Comp2
1.0,5.5548,9.8202
2.0,6.1368,7.1093
3.0,5.5198,6.8205
4.0,7.0684,5.2495
5.0,5.3178,7.2214
6.0,5.5243,7.5245
7.0,5.9762,8.5518
8.0,5.9306,7.8588
9.0,5.9712,10.1794
10.0,6.5842,10.9119
11.0,6.4267,9.9821
12.0,5.9556,9.9513
13.0,5.8587,9.8289
14.0,5.851,9.8696
15.0,6.1312,10.1245
16.0,6.038,9.9761
17.0,5.9721,9.9521
18.0,5.9703,9.9504
19.0,5.9702,9.9503
20.0,5.9701,9.9502
21.0,5.9701,9.9502
22.0,5.9701,9.9502
23.0,5.9701,9.9502
24.0,5.6065,5.4602
