periods,Delta LP,ConsumSP
1.0,2.757,5.05
2.0,0.4,5.462
3.0,0.506,5.159
4.0,-1.231,4.904
5.0,0.842,4.71
6.0,1.117,5.103
7.0,-0.161,5.215
8.0,0.013,2.593
9.0,-0.62,2.778
10.0,-1.665,3.496
11.0,-1.322,3.849
12.0,-0.603,4.148
13.0,0.071,4.615
14.0,0.366,4.641
15.0,-0.385,5.581
16.0,0.416,4.89
17.0,0.41,4.782
18.0,0.745,5.148
19.0,-1.054,7.228
20.0,-0.552,7.318
21.0,-0.647,7.554
22.0,-0.005,6.931
23.0,1.072,5.966
24.0,-0.246,3.716
