periods,Pipe1  1->2,Pipe2  1->3,Pipe3  4->2,Pipe4 4->3,Pipe5 6->5,Pipe6 8->7,Pipe7 2->9
1.0,5.2928,3.3715,4.181,0.9132,5.7913,9.8494,4.9999
2.0,3.9493,2.1309,3.9486,2.1296,6.0838,7.2701,4.5128
3.0,3.4433,2.0713,3.443,2.0709,5.7737,6.8469,4.2538
4.0,2.5614,1.1258,3.9145,3.167,6.5519,5.2834,4.4745
5.0,3.0895,2.192,3.0981,2.2041,5.6722,7.2734,4.5874
6.0,3.2819,2.2443,3.2819,2.2443,5.776,7.9093,4.7326
7.0,3.8521,2.7088,3.6212,2.3689,6.0031,8.5834,5.5755
8.0,3.3175,2.602,3.3175,2.602,5.9608,7.9093,6.6439
9.0,4.5296,4.0007,3.3863,2.6373,6.0005,10.1151,8.0712
10.0,4.8116,4.1297,3.7574,2.8322,6.3086,10.4833,8.3471
11.0,4.4406,3.7004,3.7469,2.8306,6.2294,10.016,7.8602
12.0,4.4271,3.6401,3.5608,2.516,5.9927,10.0005,7.2906
13.0,4.41,3.4591,3.5836,2.315,5.944,9.939,6.6825
14.0,4.4026,3.4416,3.5598,2.2658,5.9401,9.9595,6.5247
15.0,4.7243,3.4068,3.9416,2.1963,6.0809,10.0876,6.3682
16.0,4.4949,3.3957,3.7041,2.2465,6.0341,10.013,6.3964
17.0,4.4585,3.4209,3.6425,2.2566,6.001,10.0009,6.4431
18.0,4.5032,3.3208,3.7129,2.1295,6.0001,10.0001,6.0832
19.0,4.9781,3.1574,4.2814,1.8756,6.0,10.0,5.6432
20.0,4.9673,3.0834,4.2847,1.7866,6.0,10.0,5.3714
21.0,5.0349,3.0272,4.372,1.7111,6.0,10.0,5.3286
22.0,4.8857,3.0665,4.1973,1.775,6.0,10.0,5.409
23.0,4.6631,3.1017,3.9396,1.8428,6.0,10.0,5.5403
24.0,2.2122,1.4482,3.1272,2.6425,5.8173,5.634,5.1392
