periods,pipe Comp1,pipe Comp2
1.0,0.0278,0.0491
2.0,0.0307,0.0355
3.0,0.0276,0.0341
4.0,0.0353,0.0262
5.0,0.0266,0.0361
6.0,0.0276,0.0376
7.0,0.0299,0.0428
8.0,0.0297,0.0393
9.0,0.0299,0.0509
10.0,0.0329,0.0546
11.0,0.0321,0.0499
12.0,0.0298,0.0498
13.0,0.0293,0.0491
14.0,0.0293,0.0493
15.0,0.0307,0.0506
16.0,0.0302,0.0499
17.0,0.0299,0.0498
18.0,0.0299,0.0498
19.0,0.0299,0.0498
20.0,0.0299,0.0498
21.0,0.0299,0.0498
22.0,0.0299,0.0498
23.0,0.0299,0.0498
24.0,0.028,0.0273
