periods,UHp1,UHp2
1.0,0.1,1.6
2.0,0.208,1.735
3.0,0.316,1.87
4.0,0.424,2.005
5.0,0.532,2.14
6.0,0.64,2.275
7.0,0.748,2.352
8.0,0.676,2.262
9.0,0.604,2.172
10.0,0.532,2.082
11.0,0.46,1.992
12.0,0.388,1.902
13.0,0.316,1.819
14.0,0.244,1.791
15.0,0.352,1.8
16.0,0.28,1.827
17.0,0.388,1.738
18.0,0.316,1.648
19.0,0.244,1.558
20.0,0.172,1.468
21.0,0.1,1.41
22.0,0.107,1.449
23.0,0.215,1.471
24.0,0.15,1.5
