periods,Gsup_1,Gsup_2
1.0,4.766,8.0
2.0,4.443,8.0
3.0,3.583,8.0
4.0,3.75,8.0
5.0,3.816,8.0
6.0,4.315,8.0
7.0,6.061,8.0
8.0,7.566,8.0
9.0,9.0,8.0
10.0,9.0,8.0
11.0,9.0,8.0
12.0,9.0,8.0
13.0,8.695,8.0
14.0,8.242,8.0
15.0,9.0,8.0
16.0,8.549,8.0
17.0,5.619,8.0
18.0,6.951,8.0
19.0,6.851,8.0
20.0,6.286,8.0
21.0,5.946,8.0
22.0,5.651,8.0
23.0,5.501,8.0
24.0,4.037,8.0
