Parameter,Value
Power shedding cost MM (USD),0.0
Thermal variable cost MM (USD),0.393
Start-up and-Shut down MM (USD),0.002
Gas shedding cost MM (USD),0.0
Well Production MM (USD),2.9
Hidraulic Production MM (USD),0
Total cost MM (USD),3.295
Time seg,10.6043594
% viol conx gas flow max,11.737885406393325
