periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,1.6141,1.6833,1.647,1.7161
2.0,1.7724,1.8346,1.8032,1.8653
3.0,1.8353,1.881,1.8689,1.9147
4.0,1.839,1.8811,1.8722,1.9144
5.0,1.8399,1.8812,1.875,1.9164
6.0,1.8346,1.8819,1.867,1.9143
7.0,1.8224,1.8875,1.8429,1.908
8.0,1.8321,1.9026,1.8359,1.9064
9.0,1.5821,1.6864,1.5746,1.6788
10.0,1.3284,1.45,1.319,1.4405
11.0,1.2361,1.3623,1.2278,1.354
12.0,1.2053,1.3503,1.197,1.342
13.0,1.2642,1.4258,1.2448,1.4064
14.0,1.3144,1.4433,1.3112,1.4401
15.0,1.5957,1.7243,1.5786,1.7071
16.0,1.7856,1.8951,1.7881,1.8976
17.0,1.2115,1.3609,1.2304,1.3798
18.0,1.2034,1.3566,1.2203,1.3736
19.0,1.2155,1.3509,1.2191,1.3545
20.0,1.2299,1.3556,1.2396,1.3653
21.0,1.2382,1.3585,1.2519,1.3722
22.0,1.2484,1.3601,1.2656,1.3773
23.0,1.2511,1.3613,1.27,1.3802
24.0,1.2717,1.368,1.3091,1.4054
