periods,Gsup_1,Gsup_2
1.0,4.009,8.0
2.0,4.031,8.0
3.0,3.987,8.0
4.0,4.056,8.0
5.0,4.108,8.0
6.0,4.467,8.0
7.0,6.107,8.0
8.0,7.654,8.0
9.0,9.0,8.0
10.0,9.0,8.0
11.0,9.0,8.0
12.0,9.0,8.0
13.0,8.857,8.0
14.0,8.606,8.0
15.0,8.17,8.0
16.0,7.781,8.0
17.0,7.669,8.0
18.0,6.805,8.0
19.0,6.714,8.0
20.0,5.965,8.0
21.0,5.52,8.0
22.0,5.582,8.0
23.0,5.494,8.0
24.0,4.085,8.0
