iterations,Cost MMUSD,% Error Mean,% Error Max
1.0,3.2893,11.9175,32.0867
2.0,3.2929,5.4658,25.5598
3.0,3.2943,3.0429,23.9511
4.0,3.2948,1.6639,20.7504
5.0,3.2956,1.0164,14.1843
