periods,Pipe1  1->2,Pipe2  1->3,Pipe3  4->2,Pipe4 4->3
1.0,3.9387,0.1525,4.9798,3.0333
2.0,3.8847,0.0946,4.9701,2.98
3.0,3.7475,0.0805,4.8908,2.9538
4.0,3.8442,0.1333,4.9165,3.0055
5.0,3.934,0.0997,4.8419,3.0835
6.0,4.0535,0.3793,5.0805,2.8849
7.0,4.8272,1.2826,5.4695,2.5441
8.0,5.501,2.1449,5.6084,2.3996
9.0,6.2479,3.0091,5.9533,2.319
10.0,6.1237,3.1505,5.979,2.2905
11.0,6.0221,3.0433,5.7377,2.3217
12.0,6.0948,2.8977,5.8709,2.1252
13.0,6.0846,2.6403,5.8372,2.0368
14.0,6.001,2.4824,5.816,2.0575
15.0,5.8344,2.2715,5.7955,2.1353
16.0,5.7156,2.0694,5.7716,2.2279
17.0,5.67,2.0331,5.7531,2.2798
18.0,5.2701,1.5825,5.607,2.4324
19.0,5.2235,1.5278,5.6524,2.3855
20.0,4.8358,1.1994,5.6222,2.4428
21.0,4.4927,1.1259,5.7284,2.3707
22.0,4.3112,1.277,5.7124,2.3006
23.0,4.2829,1.2102,5.7034,2.2954
24.0,3.6661,0.3925,5.3036,2.6532
