periods,gnode 1,gnode 2,gnode 3,gnode 4
1.0,43.5661,39.8461,43.5599,45.6326
2.0,45.0347,41.4887,45.0322,46.9905
3.0,49.5529,46.5107,49.5513,51.3101
4.0,51.8251,48.8789,51.821,53.5573
5.0,53.9841,51.0923,53.982,55.7295
6.0,55.0133,52.0279,54.9873,56.7856
7.0,55.3202,51.0621,54.999,56.47
8.0,56.057,50.5387,55.0,56.2635
9.0,49.4625,41.0604,47.605,48.7761
10.0,41.9329,32.084,39.5648,41.5257
11.0,40.0617,30.0,37.748,40.0
12.0,40.2749,30.0,38.1949,40.0
13.0,43.7944,34.446,42.1837,43.1511
14.0,47.0315,38.7563,45.7169,46.6304
15.0,48.6702,41.1106,47.6058,48.5538
16.0,48.4357,41.1807,47.5463,48.5787
17.0,47.4381,40.1514,46.5624,47.6635
18.0,45.7643,39.2273,45.2109,46.4932
19.0,44.7293,37.9056,44.1941,45.4471
20.0,42.6259,35.8549,42.2673,43.6296
21.0,40.014,32.1978,39.6208,40.9868
22.0,40.0012,31.8197,39.2932,40.5818
23.0,40.0,31.8825,39.3243,40.6057
24.0,40.0,34.3909,39.9082,41.5872
