periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4
1.0,3.8901,0.1185,4.9659,3.0341
2.0,3.9113,0.1197,4.9958,3.0042
3.0,3.829,0.1578,4.9707,3.0293
4.0,3.8838,0.1721,4.9559,3.0441
5.0,3.9714,0.1366,4.8794,3.1206
6.0,4.0703,0.3967,5.0975,2.9025
7.0,4.8216,1.2854,5.4585,2.5415
8.0,5.5028,2.1512,5.6022,2.3978
9.0,6.1105,2.8895,5.8082,2.1918
10.0,5.9826,3.0174,5.8402,2.1598
11.0,5.9882,3.0117,5.7068,2.2932
12.0,6.0966,2.9034,5.8709,2.1291
13.0,6.1527,2.7045,5.9021,2.0979
14.0,6.0655,2.5403,5.8826,2.1174
15.0,5.8685,2.3017,5.8321,2.1679
16.0,5.7142,2.0669,5.7724,2.2276
17.0,5.6527,2.0162,5.7364,2.2636
18.0,5.2479,1.5566,5.5891,2.4109
19.0,5.2034,1.5102,5.6321,2.3679
20.0,4.8002,1.1649,5.5892,2.4108
21.0,4.4391,1.0809,5.6745,2.3255
22.0,4.3078,1.2741,5.7057,2.2943
23.0,4.2834,1.2104,5.7041,2.2959
24.0,3.6875,0.3975,5.3334,2.6666
