periods,Delta LP,ConsumSP
1.0,-0.192,3.75
2.0,0.203,3.886
3.0,0.629,3.795
4.0,0.313,3.707
5.0,0.298,3.649
6.0,0.138,3.853
7.0,-0.033,4.095
8.0,0.0,3.736
9.0,-1.059,3.424
10.0,-1.087,3.112
11.0,-0.25,3.009
12.0,0.023,3.817
13.0,0.517,4.392
14.0,0.498,4.5
15.0,0.267,4.5
16.0,-0.007,4.5
17.0,-0.134,4.395
18.0,-0.175,4.316
19.0,-0.151,4.5
20.0,-0.27,4.5
21.0,-0.395,4.5
22.0,-0.038,4.205
23.0,0.004,4.29
24.0,0.139,3.999
