periods,Pipe1 ,Pipe2 ,Pipe3 ,Pipe4
1.0,1.5312,1.5772,1.5619,1.6079
2.0,1.8419,1.881,1.8691,1.9083
3.0,1.3226,1.368,1.3403,1.3857
4.0,1.3797,1.4283,1.4108,1.4593
5.0,1.6654,1.7067,1.6964,1.7376
6.0,1.8406,1.881,1.8689,1.9092
7.0,1.6696,1.7286,1.6988,1.7578
8.0,1.7926,1.8721,1.7991,1.8786
9.0,1.6407,1.7531,1.6303,1.7428
10.0,1.3685,1.5104,1.3562,1.498
11.0,1.2694,1.4171,1.2567,1.4044
12.0,1.3762,1.5036,1.367,1.4944
13.0,1.4781,1.5843,1.4818,1.588
14.0,1.2869,1.3969,1.3072,1.4172
15.0,1.2487,1.3615,1.2663,1.379
16.0,1.2459,1.3597,1.2624,1.3762
17.0,1.2447,1.3591,1.2606,1.3749
18.0,1.2582,1.3628,1.2797,1.3843
19.0,1.2615,1.364,1.2848,1.3873
20.0,1.2723,1.3662,1.2998,1.3937
21.0,1.2778,1.367,1.3075,1.3967
22.0,1.2831,1.3673,1.3145,1.3987
23.0,1.2849,1.3676,1.3171,1.3997
24.0,1.3098,1.368,1.34,1.3982
