periods,G1,G2,G3
1.0,30.0,672.631,30.0
2.0,-0.0,699.552,-0.0
3.0,-0.0,683.013,-0.0
4.0,-0.0,667.25,-0.0
5.0,-0.0,656.743,-0.0
6.0,-0.0,693.52,-0.0
7.0,-0.0,777.583,-0.0
8.0,-0.0,819.615,-0.0
9.0,-0.0,868.424,30.0
10.0,-0.0,900.0,77.233
11.0,-0.0,900.0,114.01
12.0,-0.0,900.0,124.519
13.0,-0.0,900.0,92.994
14.0,-0.0,889.44,30.0
15.0,-0.0,877.408,-0.0
16.0,-0.0,887.916,-0.0
17.0,-0.0,878.932,30.0
18.0,42.898,881.874,105.0
19.0,117.898,900.0,180.0
20.0,67.645,900.0,225.0
21.0,132.136,900.0,150.0
22.0,57.136,861.909,75.0
23.0,-0.0,874.256,-0.0
24.0,-0.0,754.466,-0.0
