periods,Delta LP,ConsumSP
1.0,0.184,3.363
2.0,1.222,3.498
3.0,-2.084,3.415
4.0,0.262,3.336
5.0,1.128,3.284
6.0,0.694,3.468
7.0,-0.645,3.888
8.0,0.487,4.098
9.0,-0.575,4.342
10.0,-1.034,4.5
11.0,-0.385,4.5
12.0,0.394,4.5
13.0,0.391,4.5
14.0,-0.724,4.447
15.0,-0.153,4.387
16.0,-0.011,4.44
17.0,-0.005,4.395
18.0,0.046,4.409
19.0,0.013,4.5
20.0,0.034,4.5
21.0,0.017,4.5
22.0,0.015,4.31
23.0,0.006,4.371
24.0,0.047,3.772
