periods,pipe Pipe1 ,pipe Pipe2 ,pipe Pipe3 ,pipe Pipe4,pipe Pipe5,pipe Pipe6,pipe Pipe7
1.0,0.0003,0.0,0.0317,0.0004,0.0224,0.0021,0.0034
2.0,0.0,0.0,0.0034,0.0083,0.0085,0.0,0.0031
3.0,0.0,0.0002,0.0007,0.0394,0.0189,0.0005,0.0071
4.0,0.0,0.0,0.0009,0.04,0.0246,0.0001,0.0058
5.0,0.0002,0.0,0.0222,0.0012,0.0246,0.0003,0.0052
6.0,0.0003,0.0,0.0232,0.0007,0.0185,0.0011,0.0055
7.0,0.0008,0.0003,0.004,0.0011,0.016,0.0039,0.006
8.0,0.0007,0.0005,0.0022,0.0017,0.0183,0.0047,0.0094
9.0,0.0022,0.0013,0.002,0.0012,0.0098,0.0168,0.0087
10.0,0.0023,0.0013,0.0021,0.0012,0.0138,0.0226,0.0045
11.0,0.0026,0.0012,0.0021,0.001,0.0158,0.0229,0.0058
12.0,0.0023,0.001,0.0023,0.0012,0.0123,0.0219,0.0078
13.0,0.0015,0.0007,0.0022,0.0013,0.0109,0.0154,0.01
14.0,0.0011,0.0004,0.0043,0.0013,0.0154,0.0173,0.0065
15.0,0.0007,0.0003,0.0026,0.0014,0.0161,0.0154,0.0064
16.0,0.0005,0.0005,0.0019,0.0037,0.0178,0.0051,0.0089
17.0,0.0015,0.0008,0.0019,0.0013,0.0139,0.0166,0.0076
18.0,0.0016,0.0005,0.0018,0.0012,0.0141,0.0094,0.0079
19.0,0.0009,0.0008,0.0007,0.0007,0.0546,0.015,0.0009
20.0,0.0,0.0064,0.0001,0.0001,0.0002,0.0228,0.0
21.0,0.0,0.0036,0.0,0.0,0.0,0.018,0.0
22.0,0.0,0.0019,0.0,0.0,0.0,0.0062,0.0
23.0,0.0,0.0005,0.0,0.0,0.0,0.0012,0.0
24.0,0.0014,0.0,0.0,0.0,0.0145,0.0018,0.0
