periods,Delta LP,ConsumSP
1.0,0.758,2.151
2.0,-0.923,1.45
3.0,0.114,1.304
4.0,-0.573,1.197
5.0,-0.057,1.126
6.0,0.39,1.452
7.0,1.486,1.985
8.0,-0.103,2.257
9.0,0.752,3.061
10.0,-0.333,3.883
11.0,-0.143,4.227
12.0,0.111,4.448
13.0,0.18,4.089
14.0,0.072,3.253
15.0,-0.069,2.891
16.0,-1.172,2.966
17.0,1.156,3.109
18.0,0.19,4.448
19.0,0.318,6.528
20.0,0.063,6.618
21.0,0.057,6.498
22.0,0.173,4.374
23.0,-1.917,3.114
24.0,-0.307,2.131
