periods,Gsup_1,Gsup_2
1.0,2.911,8.0
2.0,0.035,8.0
3.0,0.571,8.0
4.0,0.223,8.0
5.0,0.788,8.0
6.0,1.862,8.0
7.0,4.978,8.0
8.0,5.426,8.0
9.0,9.66,8.0
10.0,9.722,8.0
11.0,9.563,8.0
12.0,9.018,8.0
13.0,7.582,8.0
14.0,6.312,8.0
15.0,5.613,8.0
16.0,4.472,8.0
17.0,7.067,8.0
18.0,6.739,8.0
19.0,8.678,8.0
20.0,7.915,8.0
21.0,7.647,8.0
22.0,5.608,8.0
23.0,2.132,8.0
24.0,2.128,8.0
