periods,G1,G2,G3-TG,G4,G3-TG-TV
1.0,0.5497,1.0017,0.0,0.0,0.6
2.0,0.2497,0.0,0.0,0.0,1.2
3.0,0.12,0.0,0.0,0.0,1.1843
4.0,0.12,0.0,0.0,0.0,1.0765
5.0,0.1246,0.0,0.0,0.0,1.0013
6.0,0.4246,0.0,0.0,0.0,1.0276
7.0,0.7246,0.0,0.0,0.0,1.26
8.0,1.0246,0.0,0.0,0.0,1.2322
9.0,1.3246,0.4762,0.0,0.0,1.26
10.0,1.6246,0.9988,0.0,0.0,1.26
11.0,1.9246,1.0426,0.0,0.0,1.26
12.0,2.0,1.1881,0.0,0.0,1.26
13.0,2.0,0.8291,0.0,0.0,1.26
14.0,1.9931,0.0,0.0,0.0,1.26
15.0,1.6931,0.0,0.0,0.0,1.1978
16.0,1.7059,0.0,0.0,0.0,1.26
17.0,1.8494,0.0,0.0,0.0,1.26
18.0,2.0,1.188,0.0,0.0,1.26
19.0,2.0,3.2677,0.0,0.0,1.26
20.0,2.0,3.3579,0.0,0.0,1.26
21.0,2.0,3.2382,0.0,0.0,1.26
22.0,1.9294,1.1843,0.0,0.0,1.26
23.0,1.6294,0.225,0.0,0.0,1.26
24.0,1.3294,0.0,0.0,0.0,0.8014
