periods,pipe Comp1,pipe Comp2
1.0,8.2474,2.8204
2.0,8.0864,0.1026
3.0,7.4467,0.5204
4.0,8.3008,0.3083
5.0,8.0226,0.8249
6.0,7.969,1.763
7.0,7.6673,4.7876
8.0,8.0525,5.2955
9.0,7.6512,9.6082
10.0,8.1223,9.8561
11.0,7.9185,9.5517
12.0,7.8924,8.9123
13.0,7.8888,7.5248
14.0,8.0419,6.2692
15.0,8.0292,5.5724
16.0,8.1938,4.501
17.0,7.6664,6.9583
18.0,8.0991,6.6238
19.0,8.3435,8.7312
20.0,7.9944,7.8752
21.0,7.9634,7.5513
22.0,7.9603,5.426
23.0,7.9602,2.3375
24.0,7.5267,2.2993
