iterations,Cost MMUSD,% Error Mean,% Error Max
1.0,4.4466,7.2906,30.9955
2.0,4.4466,5.2,40.1423
3.0,4.4466,3.6594,42.9952
4.0,4.4466,1.362,8.8616
5.0,4.4466,0.5871,5.4622
