periods,Delta LP,ConsumSP
1.0,-0.633,3.363
2.0,0.083,3.498
3.0,0.915,3.415
4.0,0.528,3.336
5.0,0.493,3.284
6.0,0.028,3.468
7.0,-0.747,3.888
8.0,0.508,4.098
9.0,-0.595,4.342
10.0,-1.051,4.5
11.0,-0.397,4.5
12.0,0.346,4.5
13.0,0.433,4.5
14.0,0.08,4.447
15.0,0.025,4.387
16.0,-0.035,4.44
17.0,-0.157,4.395
18.0,-0.316,4.409
19.0,-0.427,4.5
20.0,-0.035,4.5
21.0,0.031,4.5
22.0,0.027,4.31
23.0,0.011,4.371
24.0,0.163,3.772
